"record_date","gas_consumption","temp_daily","cloud_cover_daily"
"2022-01-01","366.744","6.4","100"
"2022-01-02","376.731","5.4","88"
"2022-01-03","428.674","5.9","75"
"2022-01-04","408.314","4.8","82"
"2022-01-05","406.765","7.2","48"
"2022-01-06","433.427","3","82"
"2022-01-07","472.148","0.2","94"
"2022-01-08","473.072","1.9","92"
"2022-01-09","463.249","0.5","99"
"2022-01-10","501.532","1.7","92"
"2022-01-11","543.451","-1.9","59"
"2022-01-12","590.078","-5.9","1"
"2022-01-13","596.03","-5.7","66"
"2022-01-14","548.707","-3.5","91"
"2022-01-15","516.392","-2.5","69"
"2022-01-16","524.995","-3","75"
"2022-01-17","543.252","-2.4","81"
"2022-01-18","550.727","-3.5","83"
"2022-01-19","562.315","-4.8","64"
"2022-01-20","557.007","-2.4","46"
"2022-01-21","562.82","-4.4","52"
"2022-01-22","562.583","-5.9","84"
"2022-01-23","563.708","-7.5","82"
"2022-01-24","611.849","-11.1","24"
"2022-01-25","635.53","-10.4","59"
"2022-01-26","604.586","-5.9","100"
"2022-01-27","569","-2.9","87"
"2022-01-28","536.348","-0.4","88"
"2022-01-29","516.385","-2.8","80"
"2022-01-30","489.168","0.1","91"
"2022-01-31","514.903","-1.4","80"
"2022-02-01","527.986","-1.8","97"
"2022-02-02","523.559","-1.1","93"
"2022-02-03","528.154","-2","58"
"2022-02-04","509.361","-1.7","52"
"2022-02-05","484.24","1.1","76"
"2022-02-06","463.718","-0.4","67"
"2022-02-07","484.811","1.5","100"
"2022-02-08","494.067","-1","88"
"2022-02-09","478.854","1.1","94"
"2022-02-10","452.785","4.4","8"
"2022-02-11","433.888","3.9","25"
"2022-02-12","444.385","0.3","52"
"2022-02-13","465.842","-0.7","62"
"2022-02-14","484.1","-0.6","82"
"2022-02-15","464.206","1.3","20"
"2022-02-16","439.89","2.7","87"
"2022-02-17","411.741","4.6","85"
"2022-02-18","418.015","2.2","44"
"2022-02-19","385.84","4.8","66"
"2022-02-20","405.685","2.8","66"
"2022-02-21","405.555","4.3","57"
"2022-02-22","409.634","2.7","79"
"2022-02-23","431.909","1.7","77"
"2022-02-24","436.197","-1.1","68"
"2022-02-25","426.151","0","23"
"2022-02-26","414.223","1","97"
"2022-02-27","409.94","0.3","73"
"2022-02-28","477.054","-1.1","100"
"2022-03-01","461.22","-0.6","100"
"2022-03-02","451.524","-0.4","100"
"2022-03-03","439.651","-1.1","80"
"2022-03-04","429.835","-0.1","98"
"2022-03-05","426.438","-1.1","49"
"2022-03-06","433.305","-2.4","53"
"2022-03-07","470.237","-1.7","100"
"2022-03-08","473.652","-2.3","56"
"2022-03-09","490.887","-3.3","45"
"2022-03-10","504.765","-4.3","58"
"2022-03-11","510.855","-5.6","32"
"2022-03-12","470.515","-3.7","33"
"2022-03-13","448.644","-1.1","82"
"2022-03-14","444.772","0.6","22"
"2022-03-15","418.982","1.7","78"
"2022-03-16","448.138","1.7","88"
"2022-03-17","451.338","-0.3","89"
"2022-03-18","446.979","-1.9","18"
"2022-03-19","433.887","-2.4","9"
"2022-03-20","423.417","-0.7","6"
"2022-03-21","407.211","2","4"
"2022-03-22","364.189","4.2","0"
"2022-03-23","341.906","4.7","0"
"2022-03-24","315.1","6.5","0"
"2022-03-25","334.897","2.8","15"
"2022-03-26","284.301","5.1","23"
"2022-03-27","286.786","6.7","28"
"2022-03-28","299.205","6.4","2"
"2022-03-29","276.239","8.1","71"
"2022-03-30","257.741","9.1","93"
"2022-03-31","244.312","9.4","98"
"2022-04-01","211.631","10.8","96"
"2022-04-02","222.843","6.5","91"
"2022-04-03","271.018","1.2","82"
"2022-04-04","322.178","0.7","42"
"2022-04-05","285.259","4.3","26"
"2022-04-06","234.686","9.6","35"
"2022-04-07","261.655","9","89"
"2022-04-08","216.811","9.5","89"
"2022-04-09","186.307","11.7","83"
"2022-04-10","246.952","3.7","100"
"2022-04-11","289.641","3.4","45"
"2022-04-12","286.142","3.5","26"
"2022-04-13","264.703","4.8","7"
"2022-04-14","240.76","8.7","6"
"2022-04-15","206.663","11.1","56"
"2022-04-16","203.396","9.8","84"
"2022-04-17","251.251","2.2","91"
"2022-04-18","274.967","2","45"
"2022-04-19","300.844","2.8","83"
"2022-04-20","285.238","4.2","45"
"2022-04-21","254.224","6.3","33"
"2022-04-22","215.867","8","79"
"2022-04-23","190.91","9.6","75"
"2022-04-24","131.834","12.6","44"
"2022-04-25","143.504","11.9","40"
"2022-04-26","180.95","11.9","29"
"2022-04-27","197.044","11.6","45"
"2022-04-28","223.946","9.5","93"
"2022-04-29","216.254","9.2","75"
"2022-04-30","198.582","9.4","9"
"2022-05-01","173.038","10.7","30"
"2022-05-02","199.545","11","67"
"2022-05-03","206.249","10.7","97"
"2022-05-04","202.716","10.5","73"
"2022-05-05","196.314","12","43"
"2022-05-06","195.405","12.4","23"
"2022-05-07","183.842","13","82"
"2022-05-08","175.748","13.7","82"
"2022-05-09","191.901","12.7","67"
"2022-05-10","200.422","12.2","44"
"2022-05-11","194.136","13.9","73"
"2022-05-12","184.707","16.6","14"
"2022-05-13","174.627","19","36"
"2022-05-14","157.134","16.9","40"
"2022-05-15","143.426","15.8","61"
"2022-05-16","169.371","16.1","34"
"2022-05-17","173.564","15.4","86"
"2022-05-18","183.525","11","54"
"2022-05-19","186.951","12.1","8"
"2022-05-20","170.687","15.6","47"
"2022-05-21","126.221","18.7","59"
"2022-05-22","148.091","15.2","68"
"2022-05-23","181.097","13.4","62"
"2022-05-24","178.478","14.1","70"
"2022-05-25","171.23","18.3","70"
"2022-05-26","172.871","17","79"
"2022-05-27","165.445","17","32"
"2022-05-28","157.222","14.6","83"
"2022-05-29","142.171","14.6","100"
"2022-05-30","172.263","15.9","47"
"2022-05-31","170.669","17","60"
"2022-06-01","167.139","18.2","50"
"2022-06-02","161.173","19.3","42"
"2022-06-03","158.447","19.4","60"
"2022-06-04","153.587","20.3","83"
"2022-06-05","146.212","18.3","75"
"2022-06-06","161.776","16.8","34"
"2022-06-07","166.737","17.5","8"
"2022-06-08","171.21","18.4","37"
"2022-06-09","171.611","18.2","48"
"2022-06-10","169.933","18","50"
"2022-06-11","146.615","16.7","87"
"2022-06-12","109.552","17.8","72"
"2022-06-13","147.15","18.5","42"
"2022-06-14","162.174","17.1","38"
"2022-06-15","167.153","16.5","34"
"2022-06-16","166.274","18","15"
"2022-06-17","161.543","16.9","74"
"2022-06-18","143.934","16","25"
"2022-06-19","125.004","19.1","14"
"2022-06-20","158.27","21.1","23"
"2022-06-21","161.167","21.4","25"
"2022-06-22","166.865","16.5","31"
"2022-06-23","155.742","17.6","63"
"2022-06-24","145.353","18.6","25"
"2022-06-25","130.301","20.3","59"
"2022-06-26","131.431","17.9","72"
"2022-06-27","151.497","19.4","28"
"2022-06-28","151.028","19.7","29"
"2022-06-29","151.067","22.4","1"
"2022-06-30","151.178","22.9","26"
"2022-07-01","148.027","23.7","39"
"2022-07-02","130.961","22.2","61"
"2022-07-03","113.939","22.6","50"
"2022-07-04","144.65","22.6","58"
"2022-07-05","143.85","22.8","46"
"2022-07-06","142.33","18.9","88"
"2022-07-07","137.967","17.6","49"
"2022-07-08","135.319","18.6","62"
"2022-07-09","98.305","18.3","74"
"2022-07-10","95.978","15.9","49"
"2022-07-11","128.848","14.7","51"
"2022-07-12","129.845","14.4","36"
"2022-07-13","145.161","16.5","73"
"2022-07-14","148.382","20.5","13"
"2022-07-15","143.021","22.1","34"
"2022-07-16","134.078","20.3","47"
"2022-07-17","126.813","18.1","20"
"2022-07-18","146.281","17.4","27"
"2022-07-19","146.725","18.9","16"
"2022-07-20","144.551","21.6","15"
"2022-07-21","145.797","22.8","1"
"2022-07-22","144.628","23","9"
"2022-07-23","131.244","25","11"
"2022-07-24","127.598","23.9","62"
"2022-07-25","142.35","22","26"
"2022-07-26","142.385","23.3","13"
"2022-07-27","142.087","22.9","31"
"2022-07-28","141.224","20.4","89"
"2022-07-29","136.966","21.2","57"
"2022-07-30","123.572","22.3","57"
"2022-07-31","127.868","18.4","74"
"2022-08-01","137.77","16.2","73"
"2022-08-02","138.965","18.8","26"
"2022-08-03","140.685","20.1","9"
"2022-08-04","140.842","20.3","4"
"2022-08-05","136.931","21.8","7"
"2022-08-06","125.631","23","18"
"2022-08-07","112.768","22.1","24"
"2022-08-08","136.014","20.2","46"
"2022-08-09","135.946","19.9","77"
"2022-08-10","136.6","16.8","75"
